ITEMNUM,LF,Genus,Species,NakedHulled,Perimeter,Dorsal_Max_Width,Dorsal_Max_Height,Thickness
1,200,Hordeum,vulgare,hulled,17.28,2.31,5.18,1.73
2,200,Triticum,diococcum,,17.3,2.7,4.58,2.6
3,200,Triticum,aestivum/durum,,20.17,3.47,4.82,2.56
4,200,Triticum,aestivum/durum,,12.411,1.425,1.981,NA
1,201,Triticum,,,12.12,2.27,4.06,2.07
1,205,Hordeum,vulgare,,18.03,2.89,5.96,2.03
2,205,Hordeum,vulgare,hulled,15.34,2.66,5.37,1.79
3,205,Triticum,,,NA,2.45,4.03,1.74
4,205,Hordeum,vulgare,hulled,19.28,3.73,6.95,2.58
1,210,Hordeum,vulgare,naked,15.68,2.13,4.19,1.73
2,210,Hordeum,vulgare,hulled,16.77,3.01,5.81,2.11
3,210,Hordeum,vulgare,hulled,22.71,4.01,7.14,3.2
4,210,Triticum,aestivum/durum,,10.06,1.368,1.868,NA
1,212,Hordeum,vulgare,naked,16.96,3.29,4.48,2.57
2,212,Triticum,aestivum/durum,,17.5,3.07,4.59,2.83
3,212,Triticum,,,16.88,3.14,4.71,2.39
4,212,Hordeum,,naked,12.34,2.3,4.33,1.91
5,212,Triticum,,,17.39,3.27,5.52,2.96
6,212,Triticum,aestivum/durum,,12.86,1.985,1.422,NA
1,215,Triticum,aestivum/durum,,14.69,3.27,4.61,2.47
2,215,Triticum,aestivum/durum,,14.6,3.29,4.6,2.9
3,215,Triticum,aestivum/durum,,16.11,4.03,4.79,2.98
4,215,Triticum,,,15.53,2.96,4.73,2.53
5,215,Hordeum,,,16.97,3.91,4.94,2.46
6,215,Hordeum,,,18.09,3.64,5.29,2.39
7,215,Hordeum,,,22.21,3.79,5.57,2.46
8,215,Hordeum,,,23.73,3.63,6.45,2.15
9,215,Hordeum,,,17.98,3.11,6.13,2.39
10,215,Triticum,aestivum/durum,,12.11,2.53,3.16,NA
11,215,Hordeum,,,15,2.87,5.24,2.16
12,215,Triticum,,,12.69,2.46,3.92,2.31
13,215,Hordeum,vulgare,hulled,11.73,2.74,4.26,2.4
14,215,Triticum,aestivum/durum,,11.4,2.7,4.1,2.34
15,215,Hordeum,,,11.89,2.22,3.72,1.45
16,215,Triticum,aestivum/durum,,11.38,2.51,3.49,2.04
17,215,Triticum,aestivum/durum,,26.774,3.243,5.179,2.947
1,217,Hordeum,,,15.88114929,3.022134506,5.187151033,2.4
2,217,Hordeum,,,15.66088009,3.244350279,4.983982326,2.58
3,217,Hordeum,,hulled,17.06,3.81,6.552190778,2.9
4,217,Hordeum,,,16.66884804,3.415773875,5.288735386,2.62
5,217,Hordeum,,,17.71922112,3.606244537,5.504602136,3.09
6,217,Hordeum,,,14.42815781,3.085624727,4.761766554,2.24
7,217,Hordeum,,,15.35,3.19,5.85379835,2.78
8,217,Hordeum,,,16.24912834,2.736428513,5.110962768,2.31
9,217,Triticum,aestivum/durum,,16.78206062,3.515731874,5.253077975,3.354991579
10,217,Triticum,aestivum/durum,,17.46468163,3.667447675,5.314637483,2.426622878
11,217,Triticum,aestivum/durum,,16.53828812,3.30692402,5.424076607,2.679382586
12,217,Triticum,aestivum/durum,,18.39794731,3.386854919,5.909712722,2.660795062
13,217,Triticum,aestivum/durum,,18.15159225,3.374028576,5.389876881,2.598830265
14,217,Triticum,aestivum/durum,,15.37985802,3.050913974,5.266757866,3.029625005
15,217,Triticum,aestivum/durum,,14.94461536,3.649398803,4.487004104,3.03002521
16,217,Triticum,aestivum/durum,,15.63415909,3.391373725,4.2749658,2.6
17,217,Triticum,aestivum/durum,,15.76,3.58,5.59,2.98
18,217,Triticum,aestivum/durum,,NA,3.22,NA,2.91
19,217,Triticum,aestivum/durum,,NA,3.16,4.52,2.44
20,217,Triticum,aestivum/durum,,14.47,3.31,5.09,2.89
21,217,Hordeum,vulgare,,20.83,3.85,5.94,2.39
22,217,Hordeum,vulgare,hulled,NA,3.11,4.96,2.71
23,217,Hordeum,vulgare,,30.875,3.925,5.964,2.477
24,217,Hordeum,vulgare,,NA,3.091,5.281,2.732
1,219,Triticum,,,18.58,3.63,5.44,2.32
1,220,Hordeum,vulgare,,25.469,2.746,5.913,2.15
1,225,Hordeum,vulgare,hulled,23.71,3.04,6.66,2.02
2,225,Hordeum,vulgare,hulled,15.85,3.48,5.93,2.28
3,225,Triticum,aestivum/durum,,11.49,2.42,3.55,2.22
5,225,Triticum,aestivum/durum,,14.54,2.85,3.94,2.7
6,225,Hordeum,vulgare,hulled,20.84,3.41,6.08,2.34
7,225,Hordeum,vulgare,hulled,26.03,3.65,6.38,3.12
9,225,Hordeum,vulgare,,10.461,1.231,2.273,1.01
1,230,Hordeum,vulgare,hulled,15.86,2.62,4.57,1.98
2,230,Triticum,aestivum/durum,,19.02,3.42,4.43,2.89
3,230,Triticum,aestivum/durum,,18.16,3.54,5.08,3.2
4,230,Triticum,aestivum/durum,,13.315,1.414,2.03,NA
1,244,Triticum,aestivum/durum,,13.88,2.83,4.45,2.26
2,244,Triticum,aestivum/durum,,12.67,2.51,4.05,2.21
3,244,Triticum,aestivum/durum,,17.93,3.6,5.34,2.88
4,244,Hordeum,vulgare,hulled,17.92,3.33,5.76,2.23
1,245,Hordeum,vulgare,,30.654,3.333,6.296,2.548
1,247,Hordeum,,,16.25,2.83,5.53,2.13
1,255,Triticum,,,13.776,2.328,4.419,2.024
2,255,Triticum,,,12.005,2.451,4.001,2.262
3,255,Triticum,,,15.245,2.924,5.255,2.457
4,255,Triticum,,,12.042,2.319,3.978,2.193
5,255,Triticum,,,14.176,3.167,4.041,3.539
1,281,Triticum,,,15.72,2.85,4.74,2.36
2,281,Triticum,,,15.73,2.86,4.94,2.4
3,281,Triticum,,,15.65,2.89,5.64,2.69
4,281,Triticum,,,14.11,2.64,4.57,2.19
5,281,Hordeum,vulgare,hulled,13.01,2.14,4.06,1.49
6,281,Hordeum,vulgare,hulled,11.85,2.22,3.9,1.46
7,281,Hordeum,vulgare,hulled,16.41,2.51,5.72,1.93
8,281,Hordeum,vulgare,hulled,16.39,2.94,5.75,2.25
9,281,Hordeum,vulgare,hulled,15.48,2.7,5.38,2.05
10,281,Hordeum,vulgare,hulled,16.79,3.05,5.82,2.44
1,283,Hordeum,vulgare,,NA,1.028,1.893,NA
1,291,Hordeum,vulgare,hulled,25.04,2.94,6.3,1.8
2,291,Hordeum,vulgare,hulled,24.07,2.55,6.6,1.58
3,291,Hordeum,vulgare,hulled,NA,2.73,5.82,1.63
4,291,Hordeum,vulgare,hulled,25.96,3.39,5.84,2.61
5,291,Hordeum,vulgare,hulled,19.98,3,4.76,2.36
1,293,Hordeum,,,NA,1.057,2,NA
1,305,Triticum,,,13,2.62,4.4,2.12
2,305,Triticum,diococcum,,NA,3.56,5.66,3.45
3,305,Hordeum,vulgare,hulled,NA,3.1,6.03,2.42
1,306,Hordeum,,,NA,3.66,4.57,2.43
2,306,Hordeum,,,NA,3.19,6.11,2.56
3,306,Triticum,diococcum,,NA,2,3.76,2.19
4,306,Triticum,aestivum/durum,,NA,2.04,3.08,2.18
1,308,Triticum,aestivum/durum,,15.8,3.14,4.99,2.79
2,308,Triticum,diococcum,,NA,3.07,4.64,2.8
1,309,Triticum,aestivum/durum,,16.88,3.37,4.16,2.67
1,310,Triticum,,,NA,2.78,4.08,2.29
2,310,Triticum,,,NA,3.03,4.98,2.6
1,314,Triticum,,,10.28,2.35,3.33,1.99
2,314,Triticum,,,14.51,3.2,4.33,3.18
3,314,Hordeum,,,16.71,2.94,5.8,2.45
1,318,Hordeum,,,16.18,2.85,5.31,2.1
2,318,Hordeum,,,16.01,3.31,5.48,2.11
3,318,Hordeum,vulgare,hulled,18.29,3.32,6.36,2.36
4,318,Hordeum,,,11.69,2.51,4.02,2.42
5,318,Triticum,,,12.89,2.69,4.12,2.55
6,318,Hordeum,,,16.54,2.93,4.97,2.18
7,318,Hordeum,,,17.14,3.43,5.54,2.68
8,318,Hordeum,,,16.18,2.51,5.62,2.55
9,318,Hordeum,,,NA,3.402,NA,2.592
1,323,Triticum,aestivum/durum,,14.72,3.33,4.45,NA
2,323,Hordeum,,,14.37,2.3,4.26,2.26
3,323,Hordeum,,,15.36,2.21,4.19,NA
1,331,Hordeum,,,13.92,2.71,3.77,2.23
1,333,Triticum,diococcum,,18.95,2.99,5.08,2.89
1,334,Hordeum,,,17.50059319,NA,4.92,2.713745975
2,334,Triticum,,,13.10931778,NA,4.51,2.35683688
3,334,Hordeum,,,16.97078705,NA,5.54,2.692014428
1,338,Triticum,,,18.71,4.02,5.2,2.82
2,341,Hordeum,,,15.39,2.61,5.03,2.27
3,341,Hordeum,,,19.07,3.11,5.31,2.57
1,342,Hordeum,,,15.01,3,4.81,2.22
2,342,Hordeum,,,9.93,2.13,3.42,1.8
3,342,Triticum,,,13.58,2.65,4.32,2.45
4,342,Triticum,,,16.07,3.58,5.17,2.66
5,342,Triticum,,,NA,3.19,5.03,2.64
6,342,Triticum,,,13.11,2.52,4.76,2.11
1,343,Triticum,,,22.739,2.611,4.276,2.373
1,343,Triticum,,,13.71,2.54,4.22,2.41
1,344,Hordeum,,,12.8,2.85,4.17,2.33
1,349,Triticum,,,15.348,2.98,5.009,2.408
1,349,Triticum,,,15.547,3.454,4.671,2.976
2,349,Hordeum,,,17.763,3.578,5.883,2.562
2,349,Triticum,,,11.255,2.424,3.526,2.131
3,349,Triticum,,,13.37,3,4.2,2.535
4,349,Triticum,,,14.686,2.127,4.698,3.091
1,353,Hordeum,vulgare,,28.827,3.038,6.116,2.282
1,356,Hordeum,,,17.77,3.09,6.5,2.13
2,356,Hordeum,,,15.78,2.71,6.12,1.77
3,356,Hordeum,,,12.91,2.51,4.75,1.54
4,356,Triticum,aestivum/durum,,12.26,2.62,4.36,2.46
5,356,Hordeum,,,12.75,2.42,4.76,1.52
6,356,Hordeum,,,13.48,2.27,4.78,1.69
7,356,Hordeum,,,15.29,3.21,5.45,2.3
8,356,Hordeum,,,17.12,3.01,5.67,2.41
9,356,Hordeum,,,17.84,3.4,6.61,2.62
10,356,Hordeum,,,15.49,2.97,5.21,1.88
11,356,Hordeum,,,15.57,3.03,5.66,2.07
1,359,Hordeum,,,12.23,2.18,3.847,1.819
2,359,Hordeum,,,13.062,2.663,NA,1.912
3,359,Hordeum,,,14.665,2.613,5.384,2.241
4,359,Triticum,,,14.741,3.232,4.4,2.366
5,359,Hordeum,,,13.374,2.629,4.614,1.73
6,359,Hordeum,,,12.121,2.321,4.2,1.643
1,360,Hordeum,,hulled,20.68,3.74,6.35,3
2,360,Hordeum,,hulled,19.47,3.8,6.12,2.82
3,360,Hordeum,,hulled,15.93,3.29,5.67,2.8
4,360,Hordeum,,,13.88,2.4,5.05,1.47
5,360,Hordeum,,,10.81,2.13,3.52,1.75
6,360,Hordeum,,,12.32,2.18,4.76,1.91
1,361,Hordeum,,,21.875,2.943,7.187,2.186
1,361,Triticum,,,15.457,2.847,5.279,2.415
2,361,Triticum,,,15.159,3.634,4.473,2.971
3,361,Triticum,,,17.568,3.431,5.017,3.335
4,361,Triticum,,,12.004,2.207,4.066,2.315
5,361,Triticum,,,13.596,2.458,4.689,1.952
6,361,Triticum,,,13.382,2.922,3.961,3.248
1,362,Triticum,,,13.329,2.908,4.017,2.462
1,362,Triticum,,,24.743,3.137,4.462,2.757
2,362,Triticum,,,14.392,2.891,4.46,2.578
3,362,Triticum,,,20.248,2.694,4.976,2.335
4,362,Triticum,,,12.638,2.914,3.753,2.655
5,362,Triticum,,,18.976,3.311,4.228,2.797
1,363,Hordeum,,,NA,3.191,5.716,2.58
1,364,Hordeum,vulgare,hulled,NA,2.49,5.62,2.49
1,372,Triticum,,,18.745,3.681,5.705,2.693
1,385,Triticum,,,16.187,2.739,4.481,2.077
2,385,Triticum,,,15.664,3.021,4.992,2.229
3,385,Hordeum,,,17.564,2.712,5.005,2.196
1,408,Triticum,,,14.971,3,5.065,2.458
2,408,Triticum,,,12.804,3.192,4.046,2.854
3,408,Triticum,,,14.037,3.139,4.436,2.84
4,408,Triticum,,,16.113,3.142,5.319,3.072
5,408,Triticum,,,11.77,2.506,3.882,2.142
6,408,Triticum,,,13.022,2.747,4.16,2.371
7,408,Triticum,,,15.153,3.292,5.059,2.866
8,408,Triticum,,,15.279,2.85,5.231,2.376
9,408,Triticum,,,15.68,3.008,5.314,2.563
10,408,Triticum,,,13.746,2.77,4.684,2.336
11,408,Triticum,,,15.891,2.95,5.185,2.505
12,408,Triticum,,,14.594,2.84,4.885,2.387
13,408,Triticum,,,19.174,3.252,6.094,2.487
14,408,Triticum,,,15.806,3.102,5.414,2.474
15,408,Triticum,,,14.993,2.829,4.983,2.748
1,413,Hordeum,,,15.788,3.358,4.821,2.515
1,417,Hordeum,,,19.717,3.227,6.635,2.967
2,417,Hordeum,,,19.324,3.275,6.431,2.356
1,421,Triticum,aestivum/durum,,20.98,2.762,4.097,NA
1,431,Hordeum,,,NA,3.523,5.939,2.484
1,436,Hordeum,,,25.408,3.523,5.327,2.435
1,440,Hordeum,,,NA,3.41,NA,2.731
1,442,Triticum,,,29.047,3.458,5.315,2.809
1,443,Hordeum,,,28.273,3.56,6.895,2.484
2,443,Hordeum,,,35.103,3.637,5.834,2.351
